CHECKED (y/n),NOTES,campus,name,categories,hours,capacity,contact,look up,id
,"WHAT COUNTS AS CHECKED: someone went there in person, or called and spoke to the place, within the last ~6 months, AND confirmed all three — it exists, it is at the spot the map shows, and our listed hours are right. y = all three confirmed. n = closed, moved, or the pin is in the wrong place. Leave blank if not checked. A website or Street View is NOT enough — that is where this data already came from.",,^^ READ THIS FIRST — do not fill this row ^^,,,,,,
,,columbia,John Jay Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/johnjay,"https://www.google.com/maps/search/?api=1&query=40.8059,-73.9624",john-jay-hall
,,columbia,Hartley Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/hartley,"https://www.google.com/maps/search/?api=1&query=40.806466,-73.961785",hartley-hall
,,columbia,McBain Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/mcbain,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9635",mcbain-hall
,,columbia,Wallach Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/wallach,"https://www.google.com/maps/search/?api=1&query=40.8054,-73.964",wallach-hall
,,columbia,Wien Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/wien,"https://www.google.com/maps/search/?api=1&query=40.8054,-73.9638",wien-hall
,,columbia,Carman Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/carman,"https://www.google.com/maps/search/?api=1&query=40.8063,-73.9635",carman-hall
,,columbia,Furnald Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/furnald,"https://www.google.com/maps/search/?api=1&query=40.807,-73.964",furnald-hall
,,columbia,Broadway Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/broadway,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9642",broadway-hall
,,columbia,Hogan Hall,dorm,Residential building — access restricted to residents (shares entrance with Broadway Hall),,https://www.housing.columbia.edu/hogan,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9642",hogan-hall
,,columbia,East Campus,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/eastcampus,"https://www.google.com/maps/search/?api=1&query=40.8087,-73.9595",east-campus
,,columbia,47 Claremont Avenue,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/47claremont,"https://www.google.com/maps/search/?api=1&query=40.81,-73.966",47-claremont
,,columbia,Schapiro Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/schapiro,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9645",schapiro-hall
,,columbia,Ruggles Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/ruggles,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9635",ruggles-hall
,,columbia,Watt Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/watt,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9635",watt-hall
,,columbia,Harmony Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/harmony,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9635",harmony-hall
,,columbia,River Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/river,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.9635",river-hall
,,columbia,Woodbridge Hall,dorm,Residential building — access restricted to residents,,https://www.housing.columbia.edu/woodbridge,"https://www.google.com/maps/search/?api=1&query=40.8065,-73.969",woodbridge-hall
,,columbia,Butler Library,"library, wifi, quiet",Hours vary by semester and during finals — check library.columbia.edu/libraries/butler,,https://library.columbia.edu/libraries/butler.html,"https://www.google.com/maps/search/?api=1&query=40.8064,-73.963",butler-library
,,columbia,Avery Architectural & Fine Arts Library,"library, quiet, wifi, power, restroom, rain-backup",Hours vary by semester — check library.columbia.edu/libraries/avery,,https://library.columbia.edu/libraries/avery.html,"https://www.google.com/maps/search/?api=1&query=40.8082,-73.961",avery-library
,,columbia,C.V. Starr East Asian Library,"library, quiet, wifi",Hours vary by semester — check library.columbia.edu/libraries/eastasian,,https://library.columbia.edu/libraries/eastasian.html,"https://www.google.com/maps/search/?api=1&query=40.8072,-73.9617",starr-east-asian-library
,,columbia,Lehman Social Sciences Library,"library, wifi, power, restroom, rain-backup",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.8082,-73.9585",lehman-library
,,columbia,The Burke Library (Union Theological Seminary),"library, quiet",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.81,-73.9615",burke-library
,,columbia,Business & Economics Library (Uris Hall),"library, wifi, power",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.808,-73.9588",uris-business-library
,,columbia,Journalism Library,"library, quiet",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.8078,-73.9613",journalism-library
,,columbia,Li Lu Law Library,"library, wifi, power",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.8075,-73.96",law-library
,,columbia,Mathematics Library,"library, quiet",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.808,-73.9622",math-library
,,columbia,Gabe M. Wiener Music & Arts Library,"library, quiet",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.8078,-73.9625",music-arts-library
,,columbia,Science & Engineering Library,"library, wifi, power",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.809,-73.9615",science-engineering-library
,,columbia,Social Work Library,"library, quiet",Hours vary by semester — check library.columbia.edu,,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.8095,-73.96",social-work-library
,,columbia,Barnard Library,"library, quiet, wifi","Hours vary by semester — separate institution, check its own listing before assuming Columbia access rules apply",,https://barnard.edu/library,"https://www.google.com/maps/search/?api=1&query=40.8085,-73.9648",barnard-library
,,columbia,Jewish Theological Seminary Library,"library, quiet","Hours vary by semester — separate institution, check its own listing before assuming Columbia access rules apply",,https://library.columbia.edu/libraries.html,"https://www.google.com/maps/search/?api=1&query=40.8105,-73.9618",jts-library
,,columbia,Teachers College Library (Gottesman Libraries),"library, quiet, wifi","Hours vary by semester — separate institution, check its own listing before assuming Columbia access rules apply",,https://library.tc.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.8093,-73.9605",tc-library
,,columbia,Chef Mike's Sub Shop,"dining, group-food",Hours vary by semester — check dining.columbia.edu/chef-mikes,10,https://dining.columbia.edu/chef-mikes,"https://www.google.com/maps/search/?api=1&query=40.808,-73.959",chef-mikes
,,columbia,John Jay Dining Hall,"dining, group-food",Sun–Thu 9:30am–9pm (Spring 2026 posted hours) — check dining.columbia.edu for current schedule,30,https://dining.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.8059,-73.9624",john-jay-dining
,,columbia,JJ's Place,"dining, group-food","Open late, 7 days/week — check dining.columbia.edu for current hours",15,https://dining.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.8059,-73.9624",jjs-place
,,columbia,Ferris Booth Commons,"dining, group-food","Mon–Fri 7:30am–8pm, Sat 9am–8pm, Sun 10am–2pm & 4–8pm (Spring 2026 posted hours)",30,https://dining.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.80685,-73.96394",ferris-booth-commons
,,columbia,Faculty House,"dining, group-food",Mon–Thu 11am–2:30pm (Spring 2026 posted hours) — check facultyhouse.columbia.edu,20,https://facultyhouse.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.8085,-73.9595",faculty-house
,,columbia,116th St – Columbia University Station (1 train),subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.8081,-73.9639",subway-116th
,,columbia,International Affairs Building Garage,parking,Visitor spots are very limited — primarily reserved for faculty; call ahead to confirm availability,,https://transportation.columbia.edu/parking,"https://www.google.com/maps/search/?api=1&query=40.8082,-73.9585",iab-garage
,,columbia,Champion Parking,parking,"Commercial garage, open 24 hours",,tel:+12126630113,"https://www.google.com/maps/search/?api=1&query=40.8054,-73.9648",champion-parking
,,columbia,Rapid Park at Riverside Church (621 W 120th St),parking,"Commercial garage, open 6am–midnight",,tel:+12128706736,"https://www.google.com/maps/search/?api=1&query=40.81117,-73.96317",claremont-parking
,,columbia,Dodge Fitness Center,gym,Open gym hours vary by semester — check perec.columbia.edu,,https://perec.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.8098,-73.9642",dodge-fitness
,,columbia,Alfred Lerner Hall,"restroom, rain-backup, power, meet",Generally open daily; specific hours vary — check lernerhall.columbia.edu,40,https://lernerhall.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.80685,-73.96394",lerner-hall
,,columbia,Low Library Steps / Sundial,"meet, sit-no-id",Open-air plaza — but Columbia's campus has had periods of restricted public/visitor access in recent years; confirm current entry policy at visit.columbia.edu before planning to meet here,50,https://visit.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.80833,-73.96194",low-library-sundial
,,columbia,College Walk,"meet, sit-no-id",Open-air central promenade — same visitor-access caveat as Low Library applies,50,https://visit.columbia.edu/,"https://www.google.com/maps/search/?api=1&query=40.8075,-73.9615",college-walk
,,columbia,St. Paul's Chapel,quiet,"Hours vary, generally open during the day when no events are scheduled — check religiouslife.columbia.edu",,https://religiouslife.columbia.edu/content/st-pauls-chapel,"https://www.google.com/maps/search/?api=1&query=40.80783,-73.96094",st-pauls-chapel
,,columbia,Sakura Park,meet,"Public NYC park — open dawn to dusk generally, no ID needed",30,https://riversideparknyc.org/parks/sakura-park/,"https://www.google.com/maps/search/?api=1&query=40.81306,-73.96222",sakura-park
,,columbia,Riverside Park (near W116 St),"meet, sit-no-id","Public NYC park along the Hudson — open dawn to dusk generally, no ID needed",50,https://riversideparknyc.org/,"https://www.google.com/maps/search/?api=1&query=40.8081,-73.9695",riverside-park
,,columbia,Morningside Park,"meet, sit-no-id","Public NYC park on campus's east side — open dawn to dusk generally, no ID needed",40,https://www.nycgovparks.org/parks/morningside-park,"https://www.google.com/maps/search/?api=1&query=40.8081,-73.9585",morningside-park
,,columbia,Riverside Church,church,Service times and visiting hours vary — check trcnyc.org,,https://www.trcnyc.org/,"https://www.google.com/maps/search/?api=1&query=40.8116,-73.9629",riverside-church
,,columbia,Cathedral of St. John the Divine,church,Service times and visiting hours vary — check stjohndivine.org,,https://www.stjohndivine.org/,"https://www.google.com/maps/search/?api=1&query=40.80384,-73.96296",st-john-divine
,,columbia,Broadway Presbyterian Church,church,Service times and visiting hours vary — check bpcnyc.org,,https://www.bpcnyc.org/,"https://www.google.com/maps/search/?api=1&query=40.8069,-73.9642",broadway-presbyterian
