RENTAL (y/n/partial),MAX GROUP,MIN SPEND / DEPOSIT,NOTES,campus,name,type,phone,email,website,takes reservations,site mentions events,events page,site says,chain,current capacity,hours,look up,id
,,,"WHAT TO ASK, in this order: (1) Do you take private bookings or reserve a section for a group? (2) What is the largest group you will seat at one table or in one area? That number goes in MAX GROUP — it is the number of seats they will actually give us, NOT the fire-code occupancy of the room. (3) Is there a minimum spend, deposit or set menu? (4) How far ahead do we book? RENTAL: y = will host a private/reserved group, partial = large table only, no private space, n = walk-ins only. Leave the row blank if nobody picked up — a guess here ends up on the live map as if someone confirmed it.",,^^ READ THIS FIRST — do not fill this row ^^,,,,,,,,,,,,,
,,,,columbia,BLVD Bistro,restaurant,+1 212-678-6200,info@boulevardbistrony.com,https://www.boulevardbistrony.com/,yes,yes,https://www.boulevardbistrony.com/new-york-harlem-blvd-bistro-events,Specials Groups and Parties Impress your guests BOOK NOW a private party our events Something for everyone Events Reviews Start stop,,,"We, Th 12:00-21:00; Fr 12:00-22:00; Sa 10:00-22:00; Su 10:00-19:00","https://www.google.com/maps/search/?api=1&query=40.80437,-73.95567",blvd-bistro
,,,,columbia,The Fox,restaurant,+1-212-500-6175,info@thefoxharlem.com,https://thefoxharlem.com/,yes,yes,https://thefoxharlem.com/new-york-city-the-fox-events,on on map section at the bottom of the page SPORTS SCHEDULE private parties Leave The Planning To Us Our sports bar is the perfect venu,,,Mo-Th 12:00-24:00; Fr 12:00-02:00; Sa 10:30-02:00; Su 10:30-24:00,"https://www.google.com/maps/search/?api=1&query=40.8068,-73.95341",the-fox
,,,,columbia,Amity Hall Uptown,restaurant,+1 646 930 2501,,https://amityhalluptown.com/,,yes,https://amityhalluptown.com/parties-page,h us! On Saturday and Sunday we take reservations from 11am Private Event Software powered by Tripleseat Order Parties Catering Jobs,,,"Mo-We 11:30-01:00, Th,Fr 11:30-02:00, Sa 10:30-02:00, Su 10:30-01:00","https://www.google.com/maps/search/?api=1&query=40.80226,-73.96464",amity-hall-uptown
,,,,columbia,Bar 314,restaurant,+1-646-682-7645,,https://www.bar314nyc.com/,,yes,https://bar314nyc.com/-party?source=pop_up&spot_id=527526&destination=private_parties&promotion=private_parties,us Create memories to last a lifetime with our personalized private party options. Let our team help you plan an unforgettable celebr,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.81417,-73.95975",bar-314
,,,,columbia,BIXI Harlem,restaurant,+1-917-409-0570,,https://bixiharlem.com/,,yes,https://bixiharlem.com/new-york-city-bixi-events,and make wonderful memories. We look forward to seeing you! Private Parties Thinking about having a celebration? The space you choose t,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80482,-73.95483",bixi-harlem
,,,,columbia,Calaveras Corner,restaurant,+1-551-291-2258,,https://calaverascorner.com,,yes,https://calaverascorner.com/parties,ine Parties FOOD MENUS Tequilas & Mezcales Calaveras Corner Private Dining & Event Packages Prix‑Fixe Experience — $40 per guest (From,,,"Su-We 10:00-24:00, Th-Sa 10:00-02:00","https://www.google.com/maps/search/?api=1&query=40.80066,-73.96578",calaveras-corner
,,,,columbia,Chocolat Restaurant Lounge,restaurant,+1-212-222-4545,,https://chocolatharlem.com/,,yes,https://chocolatharlem.com/events/,keout and food delivery services Online ordering for pickup Private dining and group celebrations Birthday parties and anniversary din,,,Mo-Th 11:00-23:00; Fr-Sa 10:00-23:00; Su 10:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.80695,-73.95375",chocolat-restaurant-lounge
,,,,columbia,Elis Wine Bar,restaurant,+1-212-222-2055,,https://www.eliswinebar.com,,yes,https://www.eliswinebar.com/private-events/,"urs & Location Our Story Catering sub-menu Catering Inquire Private Events Reservations 1012 Amsterdam Ave, New York, NY 10025 212-222",,,Tu-Su 16:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.80282,-73.9642",elis-wine-bar
,,,,columbia,Ellington in the park,restaurant,+1 917 280 4533,,https://www.ellingtoninthepark.com/,,yes,https://www.ellingtoninthepark.com/party-reservations/,"s slides Playing hero gallery, press to pause images slides Group Dining, 20 to 500 Guests | Riverside Park NYC Group dining at Elli",,,Mo-Su 11:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.80258,-73.97188",ellington-in-the-park
